DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
10-Jun-2026,EQ,"2,151.30","2,180.80","2,144.80","2,151.00","2,151.80","2,153.90","2,162.42","3,538.00","2,132.80","28,48,650","6,15,99,63,945.60","1,09,866"
09-Jun-2026,EQ,"2,174.00","2,174.00","2,132.80","2,151.40","2,152.00","2,151.00","2,148.74","3,538.00","2,132.80","41,48,655","8,91,43,99,373.70","1,37,800"
08-Jun-2026,EQ,"2,170.00","2,177.00","2,143.30","2,198.90","2,149.40","2,151.40","2,158.30","3,538.00","2,143.30","65,36,734","14,10,82,36,765.00","1,97,493"
05-Jun-2026,EQ,"2,262.90","2,271.80","2,192.00","2,241.00","2,196.00","2,198.90","2,219.87","3,538.00","2,192.00","50,19,717","11,14,31,26,655.80","2,26,269"
04-Jun-2026,EQ,"2,241.70","2,253.10","2,216.60","2,241.70","2,243.00","2,241.00","2,236.45","3,538.00","2,206.40","48,67,263","10,88,54,12,981.10","1,56,136"
03-Jun-2026,EQ,"2,393.00","2,393.00","2,224.80","2,446.90","2,245.00","2,241.70","2,267.78","3,538.00","2,206.40","1,56,60,062","35,51,36,38,076.70","5,02,630"
02-Jun-2026,EQ,"2,320.00","2,457.40","2,316.20","2,297.40","2,451.10","2,446.90","2,419.08","3,538.00","2,206.40","1,13,06,127","27,35,04,73,864.60","3,66,391"
01-Jun-2026,EQ,"2,284.00","2,335.00","2,280.00","2,258.90","2,296.40","2,297.40","2,300.81","3,538.00","2,206.40","75,05,095","17,26,77,97,717.50","1,54,067"
