DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
10-Jun-2026,EQ,"182.10","182.29","178.50","181.67","178.64","178.93","180.44","273.10","178.50","1,69,35,979","3,05,60,03,609.07","1,57,206"
09-Jun-2026,EQ,"183.97","184.35","180.60","181.76","181.90","181.67","182.12","273.10","180.60","2,83,81,665","5,16,88,87,751.35","1,82,899"
08-Jun-2026,EQ,"193.39","193.89","181.00","198.37","181.60","181.76","185.81","273.10","181.00","7,51,64,049","13,96,59,97,323.37","4,54,482"
05-Jun-2026,EQ,"191.52","199.00","188.15","204.32","198.05","198.37","195.67","273.10","186.50","4,35,39,069","8,51,94,08,470.50","2,04,926"
04-Jun-2026,EQ,"203.00","205.09","202.10","204.10","204.00","204.32","204.00","273.10","186.50","4,06,59,957","8,29,44,48,982.60","2,07,189"
03-Jun-2026,EQ,"208.00","208.40","202.00","209.84","203.90","204.10","204.92","273.10","186.50","6,22,82,204","12,76,25,61,640.01","3,37,929"
02-Jun-2026,EQ,"208.00","210.18","206.51","206.41","210.10","209.84","208.57","273.10","186.50","4,24,76,874","8,85,91,98,813.14","2,42,840"
01-Jun-2026,EQ,"205.10","207.75","205.10","204.25","206.51","206.41","206.59","273.10","186.50","2,64,91,139","5,47,28,12,912.65","1,85,455"
