DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
10-Jun-2026,EQ,"1,140.80","1,152.00","1,130.00","1,146.30","1,130.90","1,132.10","1,141.62","1,780.10","1,103.40","16,00,595","1,82,72,78,265.90","59,740"
09-Jun-2026,EQ,"1,158.70","1,159.00","1,136.40","1,151.30","1,148.30","1,146.30","1,143.49","1,780.10","1,103.40","22,25,582","2,54,49,32,274.50","83,896"
08-Jun-2026,EQ,"1,141.90","1,159.00","1,132.30","1,154.70","1,151.80","1,151.30","1,149.64","1,780.10","1,103.40","15,46,444","1,77,78,49,556.60","60,890"
05-Jun-2026,EQ,"1,179.00","1,182.50","1,147.00","1,168.30","1,155.10","1,154.70","1,156.81","1,780.10","1,103.40","19,71,395","2,28,05,22,182.00","64,251"
04-Jun-2026,EQ,"1,166.40","1,176.50","1,158.20","1,179.00","1,173.60","1,168.30","1,168.81","1,780.10","1,103.40","20,25,595","2,36,75,43,305.50","76,509"
03-Jun-2026,EQ,"1,228.80","1,230.00","1,176.80","1,243.50","1,177.50","1,179.00","1,193.69","1,780.10","1,103.40","48,00,922","5,73,08,09,610.90","1,59,882"
02-Jun-2026,EQ,"1,210.00","1,257.00","1,202.20","1,195.10","1,244.90","1,243.50","1,236.80","1,780.10","1,103.40","76,63,067","9,47,76,82,591.60","3,30,959"
01-Jun-2026,EQ,"1,190.10","1,212.80","1,190.10","1,183.80","1,194.10","1,195.10","1,200.49","1,780.10","1,103.40","59,70,435","7,16,74,47,152.80","1,03,382"
