DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
10-Jun-2026,EQ,"1,160.10","1,171.40","1,143.30","1,180.30","1,144.00","1,145.30","1,154.24","1,728.00","1,089.00","88,87,626","10,25,84,50,697.60","1,74,623"
09-Jun-2026,EQ,"1,193.60","1,193.60","1,167.30","1,187.60","1,181.70","1,180.30","1,176.06","1,728.00","1,089.00","1,09,84,054","12,91,79,03,889.00","1,90,190"
08-Jun-2026,EQ,"1,177.50","1,200.70","1,176.50","1,197.50","1,187.00","1,187.60","1,189.58","1,728.00","1,089.00","86,31,711","10,26,81,42,160.10","1,64,182"
05-Jun-2026,EQ,"1,220.00","1,223.80","1,194.30","1,201.30","1,199.00","1,197.50","1,201.93","1,728.00","1,089.00","86,92,290","10,44,75,14,955.60","1,38,390"
04-Jun-2026,EQ,"1,208.00","1,215.20","1,196.20","1,222.60","1,204.40","1,201.30","1,203.46","1,728.00","1,089.00","1,27,55,957","15,35,12,98,787.80","2,06,266"
03-Jun-2026,EQ,"1,242.10","1,249.90","1,216.00","1,270.80","1,220.50","1,222.60","1,225.95","1,728.00","1,089.00","1,85,34,303","22,72,21,20,449.40","3,53,815"
02-Jun-2026,EQ,"1,232.50","1,278.90","1,232.50","1,202.50","1,270.00","1,270.80","1,263.28","1,728.00","1,089.00","3,60,32,600","45,51,91,12,148.80","4,97,139"
01-Jun-2026,EQ,"1,175.00","1,217.00","1,173.70","1,160.90","1,203.50","1,202.50","1,205.22","1,728.00","1,089.00","1,94,39,331","23,42,86,14,350.30","2,61,853"
